symbol,price,quantity,side,bid_inclusive_of_sell_spread,sell_spread,timestamp
DOGE-USD,0.46160508,1,bid,0.45906048,0.0055125,2024-12-08T11:00:06.618189511-05:00
DOGE-USD,0.46226874,1,bid,0.45972,0.00551355,2024-12-08T11:01:06.819307317-05:00
DOGE-USD,0.462382655,1,bid,0.459849,0.00547956,2024-12-08T11:02:06.973019923-05:00
DOGE-USD,0.462038615,1,bid,0.45948813,0.00552007,2024-12-08T11:03:07.132868607-05:00
DOGE-USD,0.461668385,1,bid,0.459089,0.00558709,2024-12-08T11:04:07.309187082-05:00
DOGE-USD,0.460757215,1,bid,0.45822121,0.00550399,2024-12-08T11:05:07.470669366-05:00
DOGE-USD,0.462254,1,bid,0.45964595,0.00564203,2024-12-08T11:06:07.652232069-05:00
DOGE-USD,0.46269182,1,bid,0.46014421,0.00550606,2024-12-08T11:07:07.839707947-05:00
DOGE-USD,0.46271716,1,bid,0.4601279,0.00559577,2024-12-08T11:08:07.994436861-05:00
DOGE-USD,0.462851435,1,bid,0.4602633,0.00559172,2024-12-08T11:09:08.175824737-05:00
DOGE-USD,0.462849375,1,bid,0.46026385,0.0055861,2024-12-08T11:10:08.34004376-05:00
DOGE-USD,0.46269548,1,bid,0.4600946,0.00562115,2024-12-08T11:11:08.491601504-05:00
DOGE-USD,0.46210515,1,bid,0.45945438,0.00573629,2024-12-08T11:12:08.672915957-05:00
DOGE-USD,0.462591735,1,bid,0.46001522,0.00556974,2024-12-08T11:13:08.857411889-05:00
DOGE-USD,0.463979455,1,bid,0.46143341,0.00548741,2024-12-08T11:14:09.057663607-05:00
DOGE-USD,0.463907475,1,bid,0.46136777,0.00547459,2024-12-08T11:15:09.225648614-05:00
DOGE-USD,0.46302365,1,bid,0.460466,0.0055238,2024-12-08T11:16:09.380004867-05:00
DOGE-USD,0.46444782,1,bid,0.461873,0.00554383,2024-12-08T11:17:09.543925651-05:00
DOGE-USD,0.46385856,1,bid,0.46135,0.00540803,2024-12-08T11:18:09.753203476-05:00
DOGE-USD,0.464892715,1,bid,0.4622905,0.00559745,2024-12-08T11:19:09.925237787-05:00
DOGE-USD,0.4649114,1,bid,0.462409,0.00538253,2024-12-08T11:20:10.106626918-05:00
DOGE-USD,0.465679045,1,bid,0.4631813,0.00536366,2024-12-08T11:21:10.271622738-05:00
DOGE-USD,0.46479645,1,bid,0.4623639,0.00523358,2024-12-08T11:22:10.456107358-05:00
DOGE-USD,0.463868045,1,bid,0.4613621,0.00540228,2024-12-08T11:23:10.605972393-05:00
DOGE-USD,0.463325965,1,bid,0.4608704,0.00529986,2024-12-08T11:24:10.835972732-05:00
DOGE-USD,0.463639465,1,bid,0.4611446,0.00538105,2024-12-08T11:25:11.003937593-05:00
DOGE-USD,0.46233872,1,bid,0.4598221,0.00544324,2024-12-08T11:26:11.171571885-05:00
DOGE-USD,0.4623145,1,bid,0.45979,0.00546057,2024-12-08T11:27:11.36687685-05:00
DOGE-USD,0.462543945,1,bid,0.4599925,0.00551611,2024-12-08T11:28:11.528377729-05:00
DOGE-USD,0.4626818,1,bid,0.46012068,0.00553538,2024-12-08T11:29:11.701348022-05:00
DOGE-USD,0.463363,1,bid,0.46085062,0.00542206,2024-12-08T11:30:11.865434411-05:00
DOGE-USD,0.46406116,1,bid,0.4614891,0.0055425,2024-12-08T11:31:12.044217573-05:00
DOGE-USD,0.4645887,1,bid,0.4619954,0.00558193,2024-12-08T11:32:12.23260832-05:00
DOGE-USD,0.465106595,1,bid,0.46250473,0.00559413,2024-12-08T11:33:12.412516853-05:00
DOGE-USD,0.46493282,1,bid,0.462304,0.00565419,2024-12-08T11:34:12.582691717-05:00
DOGE-USD,0.46452497,1,bid,0.461926,0.0055949,2024-12-08T11:35:12.761872852-05:00
DOGE-USD,0.4651259,1,bid,0.46251725,0.00560848,2024-12-08T11:36:12.962587521-05:00
DOGE-USD,0.46491827,1,bid,0.4623824,0.00545444,2024-12-08T11:37:13.109710298-05:00
DOGE-USD,0.46721014,1,bid,0.4645939,0.00559971,2024-12-08T11:38:13.290837175-05:00
DOGE-USD,0.467064635,1,bid,0.46444627,0.005606,2024-12-08T11:39:13.492546733-05:00
DOGE-USD,0.46764595,1,bid,0.4650999,0.0054444,2024-12-08T11:40:13.630997345-05:00
DOGE-USD,0.466069125,1,bid,0.46341245,0.00570017,2024-12-08T11:41:13.813513859-05:00
DOGE-USD,0.46764046,1,bid,0.46502938,0.00558352,2024-12-08T11:42:13.977661225-05:00
DOGE-USD,0.468584175,1,bid,0.46597514,0.00556791,2024-12-08T11:43:14.134461971-05:00
DOGE-USD,0.468488215,1,bid,0.46578212,0.00577623,2024-12-08T11:44:14.291363773-05:00
DOGE-USD,0.46750782,1,bid,0.46482654,0.00573526,2024-12-08T11:45:14.485882848-05:00
DOGE-USD,0.46521106,1,bid,0.46259743,0.00561816,2024-12-08T11:46:14.661354084-05:00
DOGE-USD,0.46574492,1,bid,0.46315,0.00557155,2024-12-08T11:47:14.814763851-05:00
DOGE-USD,0.46510496,1,bid,0.462639,0.00530194,2024-12-08T11:48:14.979408641-05:00
DOGE-USD,0.464370595,1,bid,0.461876,0.00537199,2024-12-08T11:49:15.151548856-05:00
DOGE-USD,0.46455465,1,bid,0.462094,0.00529679,2024-12-08T11:50:15.319515348-05:00
DOGE-USD,0.46575227,1,bid,0.46319769,0.00548485,2024-12-08T11:51:15.491899731-05:00
DOGE-USD,0.46619737,1,bid,0.4637238,0.00530584,2024-12-08T11:52:15.669858364-05:00
DOGE-USD,0.46579761,1,bid,0.463363,0.00522676,2024-12-08T11:53:15.836846498-05:00
DOGE-USD,0.46554796,1,bid,0.46301867,0.00543293,2024-12-08T11:54:16.003200583-05:00
DOGE-USD,0.464723165,1,bid,0.46222,0.00538636,2024-12-08T11:55:16.203088131-05:00
DOGE-USD,0.46512422,1,bid,0.46262086,0.00538213,2024-12-08T11:56:16.383037396-05:00
DOGE-USD,0.46474931,1,bid,0.462242,0.00539497,2024-12-08T11:57:16.571365317-05:00
DOGE-USD,0.46449665,1,bid,0.461978,0.00542232,2024-12-08T11:58:16.743376919-05:00
DOGE-USD,0.464597475,1,bid,0.462036,0.00551332,2024-12-08T11:59:16.919527419-05:00
DOGE-USD,0.46468059,1,bid,0.46215344,0.00543847,2024-12-08T12:00:17.080144603-05:00
DOGE-USD,0.46503052,1,bid,0.462521,0.00539646,2024-12-08T12:01:17.288591624-05:00
DOGE-USD,0.46301636,1,bid,0.46050254,0.00542923,2024-12-08T12:02:17.459067652-05:00
DOGE-USD,0.463815435,1,bid,0.46132799,0.00536301,2024-12-08T12:03:17.634219869-05:00
DOGE-USD,0.464391205,1,bid,0.461898,0.00536876,2024-12-08T12:04:17.852669748-05:00
DOGE-USD,0.46586775,1,bid,0.46334686,0.00541117,2024-12-08T12:05:18.012537505-05:00
DOGE-USD,0.46440461,1,bid,0.46182722,0.00554988,2024-12-08T12:06:18.184262118-05:00
DOGE-USD,0.46379969,1,bid,0.46126238,0.0054707,2024-12-08T12:07:18.33961813-05:00
DOGE-USD,0.464050375,1,bid,0.46155275,0.00538223,2024-12-08T12:08:18.526192821-05:00
DOGE-USD,0.462823875,1,bid,0.46030175,0.00544943,2024-12-08T12:09:18.698516907-05:00
DOGE-USD,0.462326545,1,bid,0.45976709,0.00553603,2024-12-08T12:10:18.880416988-05:00
DOGE-USD,0.463024895,1,bid,0.46048879,0.00547725,2024-12-08T12:11:19.05690918-05:00
DOGE-USD,0.463374135,1,bid,0.46077327,0.00561288,2024-12-08T12:12:19.249129482-05:00
DOGE-USD,0.46399054,1,bid,0.46141483,0.00555121,2024-12-08T12:13:19.442144847-05:00
DOGE-USD,0.46405513,1,bid,0.461514,0.00547592,2024-12-08T12:14:19.613724757-05:00
DOGE-USD,0.46413807,1,bid,0.461597,0.00547481,2024-12-08T12:15:19.777691944-05:00
DOGE-USD,0.463050985,1,bid,0.460504,0.00550044,2024-12-08T12:16:19.917175-05:00
DOGE-USD,0.46256715,1,bid,0.4600365,0.00547088,2024-12-08T12:17:20.120378708-05:00
DOGE-USD,0.46286443,1,bid,0.4603892,0.00534763,2024-12-08T12:18:20.277982956-05:00
DOGE-USD,0.46372961,1,bid,0.46122,0.0054118,2024-12-08T12:19:20.437178333-05:00
DOGE-USD,0.46358011,1,bid,0.46106941,0.00541589,2024-12-08T12:20:20.601859303-05:00
DOGE-USD,0.463611585,1,bid,0.461119,0.00537645,2024-12-08T12:21:20.811166912-05:00
DOGE-USD,0.463801165,1,bid,0.46123054,0.00554252,2024-12-08T12:22:20.982265476-05:00
