symbol,price,quantity,side,ask_inclusive_of_buy_spread,buy_spread,timestamp
LTC-USD,112.075,1,ask,112.13,0.00049074,2024-12-11T06:04:10.346212817-05:00
LTC-USD,112.055,1,ask,112.12,0.00058007,2024-12-11T06:05:11.168364191-05:00
LTC-USD,112,1,ask,112.06,0.00053571,2024-12-11T06:06:12.037030891-05:00
LTC-USD,111.945,1,ask,112.01,0.00058064,2024-12-11T06:07:12.871262519-05:00
LTC-USD,111.84,1,ask,111.87,0.00026824,2024-12-11T06:08:13.75207941-05:00
LTC-USD,111.83,1,ask,111.85,0.00017884,2024-12-11T06:09:14.589569569-05:00
LTC-USD,111.815,1,ask,111.82,0.00004472,2024-12-11T06:10:15.389580434-05:00
LTC-USD,111.83,1,ask,111.85,0.00017884,2024-12-11T06:11:16.191605061-05:00
LTC-USD,111.845,1,ask,111.88,0.00031293,2024-12-11T06:12:16.985433962-05:00
LTC-USD,111.85,1,ask,111.89,0.00035762,2024-12-11T06:13:17.813866235-05:00
LTC-USD,111.86,1,ask,111.92,0.00053638,2024-12-11T06:14:18.638730043-05:00
LTC-USD,112.025,1,ask,112.08,0.00049096,2024-12-11T06:15:19.477983528-05:00
LTC-USD,112.14,1,ask,112.2,0.00053505,2024-12-11T06:16:20.333975539-05:00
LTC-USD,112.4,1,ask,112.46,0.00053381,2024-12-11T06:17:21.089727151-05:00
LTC-USD,112.545,1,ask,112.62,0.0006664,2024-12-11T06:18:21.931626248-05:00
LTC-USD,112.655,1,ask,112.72,0.00057698,2024-12-11T06:19:22.820851768-05:00
LTC-USD,112.61,1,ask,112.68,0.00062161,2024-12-11T06:20:23.657055749-05:00
LTC-USD,112.49,1,ask,112.55,0.00053338,2024-12-11T06:21:24.524592308-05:00
LTC-USD,112.45,1,ask,112.52,0.0006225,2024-12-11T06:22:25.327857301-05:00
LTC-USD,112.255,1,ask,112.32,0.00057904,2024-12-11T06:23:26.170207412-05:00
LTC-USD,112.615,1,ask,112.68,0.00057719,2024-12-11T06:24:27.043287443-05:00
LTC-USD,112.5,1,ask,112.57,0.00062222,2024-12-11T06:25:27.875276241-05:00
LTC-USD,112.575,1,ask,112.64,0.00057739,2024-12-11T06:26:28.73428917-05:00
LTC-USD,112.58,1,ask,112.65,0.00062178,2024-12-11T06:27:29.574084214-05:00
LTC-USD,112.675,1,ask,112.74,0.00057688,2024-12-11T06:28:30.457688468-05:00
LTC-USD,112.77,1,ask,112.82,0.00044338,2024-12-11T06:29:31.362712085-05:00
LTC-USD,112.765,1,ask,112.84,0.0006651,2024-12-11T06:30:32.201757813-05:00
LTC-USD,112.74,1,ask,112.81,0.0006209,2024-12-11T06:31:33.035798678-05:00
LTC-USD,112.795,1,ask,112.87,0.00066492,2024-12-11T06:32:33.866303688-05:00
LTC-USD,112.795,1,ask,112.86,0.00057627,2024-12-11T06:33:34.707238762-05:00
LTC-USD,112.86,1,ask,112.92,0.00053163,2024-12-11T06:34:35.535785963-05:00
LTC-USD,112.99,1,ask,113.06,0.00061952,2024-12-11T06:35:36.401562941-05:00
LTC-USD,112.995,1,ask,113.06,0.00057525,2024-12-11T06:36:38.228344157-05:00
LTC-USD,113.185,1,ask,113.24,0.00048593,2024-12-11T06:37:39.044645703-05:00
LTC-USD,112.785,1,ask,112.84,0.00048765,2024-12-11T06:38:39.851207938-05:00
LTC-USD,112.8,1,ask,112.86,0.00053191,2024-12-11T06:39:40.684925849-05:00
LTC-USD,112.625,1,ask,112.7,0.00066593,2024-12-11T06:40:41.507651367-05:00
LTC-USD,112.69,1,ask,112.74,0.0004437,2024-12-11T06:41:42.310041802-05:00
LTC-USD,112.585,1,ask,112.64,0.00048852,2024-12-11T06:42:43.142017636-05:00
LTC-USD,112.38,1,ask,112.42,0.00035594,2024-12-11T06:43:43.973080668-05:00
LTC-USD,112.39,1,ask,112.42,0.00026693,2024-12-11T06:44:44.821559206-05:00
LTC-USD,112.575,1,ask,112.62,0.00039973,2024-12-11T06:45:45.667011566-05:00
LTC-USD,112.425,1,ask,112.48,0.00048922,2024-12-11T06:46:46.573934077-05:00
LTC-USD,112.165,1,ask,112.22,0.00049035,2024-12-11T06:47:47.429820457-05:00
LTC-USD,112.2,1,ask,112.26,0.00053476,2024-12-11T06:48:48.2487315-05:00
LTC-USD,112.035,1,ask,112.09,0.00049092,2024-12-11T06:49:49.097585466-05:00
LTC-USD,112.185,1,ask,112.24,0.00049026,2024-12-11T06:50:49.948125581-05:00
LTC-USD,112.275,1,ask,112.34,0.00057894,2024-12-11T06:51:50.760665481-05:00
LTC-USD,112.355,1,ask,112.4,0.00040052,2024-12-11T06:52:51.582661589-05:00
